Taxon,lfc,se,W,p_val,q_val,diff_abn
Sneathia vaginalis,8.5824,1.3094,6.555,0.0,0.0,True
Prevotella buccalis,5.2645,1.828,2.88,0.003977,0.0517,True
Fannyhessea vaginae,5.1639,1.9098,2.704,0.006853,0.0668,True
Parvimonas micra,4.7462,1.9372,2.45,0.014281,0.1114,False
Lactobacillus jensenii,2.661,1.3944,1.908,0.056339,0.3139,False
Lactobacillus iners,1.7129,1.5274,1.121,0.262083,0.538,False
Lactococcus cremoris,1.7344,1.7336,1.0,0.317109,0.5621,False
Gardnerella leopoldii,1.3389,1.4321,0.935,0.349827,0.5932,False
Peptoniphilus harei,0.9439,1.1253,0.839,0.401574,0.6068,False
Streptococcus sanguinis,0.8459,1.0351,0.817,0.413845,0.6068,False
Granulicatella adiacens,0.5516,0.6759,0.816,0.41444,0.6068,False
Rothia mucilaginosa,0.7605,0.9432,0.806,0.420097,0.6068,False
Haemophilus parainfluenzae,0.8046,1.4274,0.564,0.572981,0.7706,False
Staphylococcus hominis,0.9612,1.9532,0.492,0.622626,0.8094,False
Anaerococcus mediterraneensis,0.4235,2.1477,0.197,0.843696,0.9678,False
Anaerococcus prevotii,-0.0519,2.1878,-0.024,0.981059,0.9811,False
Cutibacterium granulosum,-0.0851,1.4255,-0.06,0.952373,0.9774,False
Staphylococcus aureus,-0.1075,1.3537,-0.079,0.936719,0.9774,False
Streptococcus thermophilus,-0.1556,1.8894,-0.082,0.934384,0.9774,False
Cutibacterium acnes,-0.2523,1.9137,-0.132,0.8951,0.9774,False
Moraxella osloensis,-0.4853,2.0496,-0.237,0.81284,0.9606,False
Peptoniphilus sp. SAHP1,-0.5293,1.4617,-0.362,0.71726,0.8742,False
Gemella haemolysans,-0.8113,2.0238,-0.401,0.688495,0.8662,False
Cutibacterium modestum,-1.3927,2.0248,-0.688,0.491569,0.6847,False
Lactobacillus delbrueckii,-1.3076,1.2598,-1.038,0.299304,0.5559,False
Corynebacterium sanguinis,-1.3468,1.2362,-1.089,0.275942,0.5381,False
Corynebacterium matruchotii,-1.1166,0.9428,-1.184,0.236292,0.512,False
Acinetobacter ursingii,-1.2403,0.9998,-1.241,0.214759,0.4927,False
Prevotella oris,-1.1228,0.883,-1.272,0.203495,0.4927,False
Lancefieldella parvula,-1.0794,0.8398,-1.285,0.1987,0.4927,False
Aerococcus christensenii,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Lacticaseibacillus paracasei,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Gardnerella vaginalis,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Metamycoplasma hominis,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Lactobacillus gasseri,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Streptococcus salivarius,-0.1696,0.1257,-1.349,0.17737,0.4927,False
Ezakiella coagulans,-2.6423,1.5857,-1.666,0.095647,0.4663,False
Escherichia coli,-4.3551,2.0473,-2.127,0.033401,0.2171,False
Lactobacillus crispatus,-5.6006,1.8905,-2.962,0.003052,0.0517,True
