SampleID,Location,Antibody,Condition,Storage
104_CERVIX_A,CERVIX,A,DYSBIOTIC,FROZEN
104_CERVIX_G,CERVIX,G,DYSBIOTIC,FROZEN
104_CERVIX_M,CERVIX,M,DYSBIOTIC,FROZEN
104_CERVIX_PRE,CERVIX,PRE,DYSBIOTIC,FROZEN
104_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FROZEN
104_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FROZEN
104_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FROZEN
104_VAGINA_A,VAGINA,A,DYSBIOTIC,FROZEN
104_VAGINA_G,VAGINA,G,DYSBIOTIC,FROZEN
104_VAGINA_M,VAGINA,M,DYSBIOTIC,FROZEN
104_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FROZEN
77_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FROZEN
77_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FROZEN
77_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FROZEN
77_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FROZEN
77_VAGINA_A,VAGINA,A,DYSBIOTIC,FROZEN
77_VAGINA_G,VAGINA,G,DYSBIOTIC,FROZEN
77_VAGINA_M,VAGINA,M,DYSBIOTIC,FROZEN
77_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FROZEN
78_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FROZEN
78_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FROZEN
78_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FROZEN
78_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FROZEN
78_VAGINA_A,VAGINA,A,HEALTHY,FROZEN
78_VAGINA_G,VAGINA,G,HEALTHY,FROZEN
78_VAGINA_M,VAGINA,M,HEALTHY,FROZEN
78_VAGINA_PRE,VAGINA,PRE,HEALTHY,FROZEN
79_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FROZEN
79_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FROZEN
79_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FROZEN
79_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FROZEN
79_VAGINA_A,VAGINA,A,DYSBIOTIC,FROZEN
79_VAGINA_G,VAGINA,G,DYSBIOTIC,FROZEN
79_VAGINA_M,VAGINA,M,DYSBIOTIC,FROZEN
79_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FROZEN
80_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FROZEN
80_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FROZEN
80_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FROZEN
80_VAGINA_A,VAGINA,A,HEALTHY,FROZEN
80_VAGINA_G,VAGINA,G,HEALTHY,FROZEN
80_VAGINA_M,VAGINA,M,HEALTHY,FROZEN
80_VAGINA_PRE,VAGINA,PRE,HEALTHY,FROZEN
81_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FROZEN
81_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FROZEN
81_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FROZEN
81_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FROZEN
81_VAGINA_A,VAGINA,A,HEALTHY,FROZEN
81_VAGINA_G,VAGINA,G,HEALTHY,FROZEN
81_VAGINA_M,VAGINA,M,HEALTHY,FROZEN
81_VAGINA_PRE,VAGINA,PRE,HEALTHY,FROZEN
90_CERVIX_A,CERVIX,A,HEALTHY,FRESH
90_CERVIX_G,CERVIX,G,HEALTHY,FRESH
90_CERVIX_M,CERVIX,M,HEALTHY,FRESH
90_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FRESH
90_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FRESH
90_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FRESH
90_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FRESH
90_VAGINA_A,VAGINA,A,HEALTHY,FRESH
90_VAGINA_G,VAGINA,G,HEALTHY,FRESH
90_VAGINA_M,VAGINA,M,HEALTHY,FRESH
90_VAGINA_PRE,VAGINA,PRE,HEALTHY,FRESH
91_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FROZEN
91_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FROZEN
91_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FROZEN
91_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FROZEN
91_VAGINA_A,VAGINA,A,HEALTHY,FROZEN
91_VAGINA_G,VAGINA,G,HEALTHY,FROZEN
91_VAGINA_M,VAGINA,M,HEALTHY,FROZEN
91_VAGINA_PRE,VAGINA,PRE,HEALTHY,FROZEN
93_CERVIX_A,CERVIX,A,HEALTHY,FRESH
93_CERVIX_G,CERVIX,G,HEALTHY,FRESH
93_CERVIX_M,CERVIX,M,HEALTHY,FRESH
93_CERVIX_PRE,CERVIX,PRE,HEALTHY,FRESH
93_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FRESH
93_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FRESH
93_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FRESH
93_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FRESH
93_VAGINA_A,VAGINA,A,HEALTHY,FRESH
93_VAGINA_G,VAGINA,G,HEALTHY,FRESH
93_VAGINA_M,VAGINA,M,HEALTHY,FRESH
93_VAGINA_PRE,VAGINA,PRE,HEALTHY,FRESH
94_CERVIX_A,CERVIX,A,DYSBIOTIC,FRESH
94_CERVIX_G,CERVIX,G,DYSBIOTIC,FRESH
94_CERVIX_M,CERVIX,M,DYSBIOTIC,FRESH
94_CERVIX_PRE,CERVIX,PRE,DYSBIOTIC,FRESH
94_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FRESH
94_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FRESH
94_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FRESH
94_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FRESH
94_VAGINA_A,VAGINA,A,DYSBIOTIC,FRESH
94_VAGINA_G,VAGINA,G,DYSBIOTIC,FRESH
94_VAGINA_M,VAGINA,M,DYSBIOTIC,FRESH
94_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FRESH
95_CERVIX_A,CERVIX,A,HEALTHY,FROZEN
95_CERVIX_G,CERVIX,G,HEALTHY,FROZEN
95_CERVIX_M,CERVIX,M,HEALTHY,FROZEN
95_CERVIX_PRE,CERVIX,PRE,HEALTHY,FROZEN
95_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FROZEN
95_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FROZEN
95_VAGINA_A,VAGINA,A,HEALTHY,FROZEN
95_VAGINA_G,VAGINA,G,HEALTHY,FROZEN
95_VAGINA_M,VAGINA,M,HEALTHY,FROZEN
95_VAGINA_PRE,VAGINA,PRE,HEALTHY,FROZEN
96_CERVIX_A,CERVIX,A,HEALTHY,FRESH
96_CERVIX_M,CERVIX,M,HEALTHY,FRESH
96_CERVIX_PRE,CERVIX,PRE,HEALTHY,FRESH
96_ENDOMETRIUM_A,ENDOMETRIUM,A,HEALTHY,FRESH
96_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FRESH
96_VAGINA_A,VAGINA,A,HEALTHY,FRESH
96_VAGINA_M,VAGINA,M,HEALTHY,FRESH
96_VAGINA_PRE,VAGINA,PRE,HEALTHY,FRESH
97_CERVIX_A,CERVIX,A,HEALTHY,FRESH
97_CERVIX_G,CERVIX,G,HEALTHY,FRESH
97_CERVIX_M,CERVIX,M,HEALTHY,FRESH
97_CERVIX_PRE,CERVIX,PRE,HEALTHY,FRESH
97_ENDOMETRIUM_G,ENDOMETRIUM,G,HEALTHY,FRESH
97_ENDOMETRIUM_M,ENDOMETRIUM,M,HEALTHY,FRESH
97_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,HEALTHY,FRESH
97_VAGINA_A,VAGINA,A,HEALTHY,FRESH
97_VAGINA_G,VAGINA,G,HEALTHY,FRESH
97_VAGINA_M,VAGINA,M,HEALTHY,FRESH
97_VAGINA_PRE,VAGINA,PRE,HEALTHY,FRESH
98_CERVIX_A,CERVIX,A,DYSBIOTIC,FRESH
98_CERVIX_G,CERVIX,G,DYSBIOTIC,FRESH
98_CERVIX_M,CERVIX,M,DYSBIOTIC,FRESH
98_CERVIX_PRE,CERVIX,PRE,DYSBIOTIC,FRESH
98_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FRESH
98_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FRESH
98_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FRESH
98_VAGINA_A,VAGINA,A,DYSBIOTIC,FRESH
98_VAGINA_G,VAGINA,G,DYSBIOTIC,FRESH
98_VAGINA_M,VAGINA,M,DYSBIOTIC,FRESH
98_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FRESH
99_CERVIX_A,CERVIX,A,DYSBIOTIC,FRESH
99_CERVIX_G,CERVIX,G,DYSBIOTIC,FRESH
99_CERVIX_M,CERVIX,M,DYSBIOTIC,FRESH
99_CERVIX_PRE,CERVIX,PRE,DYSBIOTIC,FRESH
99_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FROZEN
99_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FROZEN
99_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FROZEN
99_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FROZEN
99_VAGINA_A,VAGINA,A,DYSBIOTIC,FRESH
99_VAGINA_G,VAGINA,G,DYSBIOTIC,FRESH
99_VAGINA_M,VAGINA,M,DYSBIOTIC,FRESH
99_VAGINA_PRE,VAGINA,PRE,DYSBIOTIC,FRESH
992_ENDOMETRIUM_A,ENDOMETRIUM,A,DYSBIOTIC,FRESH
992_ENDOMETRIUM_G,ENDOMETRIUM,G,DYSBIOTIC,FRESH
992_ENDOMETRIUM_M,ENDOMETRIUM,M,DYSBIOTIC,FRESH
992_ENDOMETRIUM_PRE,ENDOMETRIUM,PRE,DYSBIOTIC,FRESH
